Previous_Semester_GPA,Midterm_Score_Average,Assignment_Score_Average,Twelfth_Grade_Percentage,Study_Hours_Per_Day,Tenth_Grade_Percentage,Attendance_Percentage,Number_of_Backlogs,Mental_Stress_Score,Distance_From_Campus_KM,CGPA
7.93,69.44,65.5,91.8,0.92,78.69,88.9,0,8,4.17,7
8.26,71.93,74.4,90.17,4.8,83.4,88.33,0,2,9.76,7.37
8.37,73.07,81.69,82.85,6.4,93.41,64.26,1,2,5.49,7.19
7.02,58.97,71.64,91.7,5.47,77.55,77.06,0,5,10.18,6.55
6.98,67.29,65.97,87.58,7.23,71.94,67.49,0,5,9.86,6.49
10,78.27,83.53,74.13,5.84,92.64,76.3,0,8,1.52,8.41
9.09,68.34,80.3,89.18,1.01,91.01,89.87,0,5,5.4,7.65
7.44,73.67,76.18,79.29,8.26,85.44,74.83,0,2,1.47,6.85
8.32,73.33,68.85,94.91,1.54,82.3,86.63,0,4,3.38,7.23
6.37,64.59,65.03,79.98,8.2,91.87,82.32,0,9,6.32,6.22
6.78,59.2,69.21,78.44,5.86,100,72.87,0,8,17.51,5.6
6,60.87,66.57,76.59,5.23,96.21,84.08,0,4,0.08,6.13
7.84,70.33,85.1,89.91,7.95,95.4,79.48,0,10,12.31,7.52
7.86,76.65,76.1,80.39,5.67,90.53,86.19,0,2,26.66,7.53
8.8,76.34,79.54,90.17,6.45,76.24,71.49,0,9,1.95,7.7
7.25,77.85,76.95,66.03,4.89,81.91,84.1,2,6,1.57,6.52
8.78,78.42,77.23,86.55,3.25,89.44,87.34,3,8,5.28,7.38
8.28,71.13,73.49,84.56,2.41,86.46,100,0,7,3.3,7.37
10,89.23,87.69,70,8.72,95.51,75.1,0,4,0.55,8.76
9.5,84.98,89.87,75.1,7.55,93.63,81.92,1,9,7.98,8.01
9.29,72.68,87.44,81.28,4.25,99.65,100,0,5,23.65,8.07
8.5,78.64,78.56,88.03,3.26,79.6,88.03,1,1,5.74,7.37
6.43,67.1,65.87,82.33,7.71,100,71.34,2,8,1.53,6.04
7.85,70.55,71.67,75.2,6.4,85.16,62.79,0,7,7.63,7.01
10,95.03,85.44,81.71,6.66,100,88.23,0,1,8.93,9.1
8.11,65.63,80.5,78.75,7.15,82.02,79.41,0,5,0.25,7.33
6.51,64.76,63.52,100,6.91,92.47,78.25,0,9,0.44,6.55
7.9,85.04,83.88,84.45,8.43,100,90.26,0,7,6.19,7.96
6.31,65.81,60.88,93.7,6.2,80.15,77.31,1,8,15.01,6.34
6.47,58.13,63.01,73.53,1.86,95.59,85.32,0,8,8.39,6.07
8,72.46,66.4,78.14,3.83,93.42,94.94,0,9,5.2,7.45
8.39,75.49,88.21,88.14,5.51,86.42,87.22,0,7,4.9,7.51
6.54,71.57,72.68,78.48,5.17,94.54,98.18,0,5,0.77,6.65
6.83,70.31,64.49,82.15,6.12,87.11,75.34,0,10,6.43,6.26
5.79,63.41,61.14,96.2,4.59,95.03,80.53,0,5,9.71,6.05
7.34,64.02,66.39,81.08,1.6,89.99,89.53,0,2,13.81,6.7
5.16,55.83,64.01,77.86,5.1,91.17,78.7,0,10,11.7,5.42
7.14,59.49,61.75,92.05,0.9,90.65,89.13,1,9,26.6,5.92
7.6,63.66,74.4,78.82,1.1,78.06,88.93,0,7,6.28,6.99
5.39,61.81,64.59,95.84,5.57,79.59,98.67,0,6,3.3,6.18
6.29,58.27,55.4,89.07,2.65,79.54,97.08,0,7,13.38,5.72
7.43,64.04,75.6,94.04,3.65,78.41,94.89,0,2,5.18,6.82
7.26,69.75,70.78,89.65,5.5,84.69,76.82,2,9,5.46,6.83
7.32,76.13,66.93,71.66,3.4,73.59,98.91,0,7,3.93,6.74
7.85,76.82,71.32,86.98,5.33,89.77,79.82,1,8,10.46,6.86
5.49,62.62,65.63,100,6.9,81.27,89.07,0,8,3.17,5.93
8.35,74.62,76.65,99.86,2.82,90.4,100,0,1,4.92,7.47
7.12,64.25,75.53,100,3.39,89.5,94.97,2,5,8.53,6.55
6.78,67.59,67.14,78.36,5.77,80.79,86.96,0,7,8.59,6.54
5.26,37.12,45.59,91.48,3.63,89.62,62.32,0,8,12.22,5.14
7.18,67.98,71.04,93.3,5.76,81.96,100,0,2,6.89,7.02
8.11,78.94,73.34,82.95,5.53,100,98.43,1,2,10.98,7.53
7.67,67.1,64.04,95.36,3.84,78.83,79.84,0,4,1.1,6.94
7.7,78.26,84.47,78.75,7.16,93.61,87.03,0,9,2.96,7.49
7.09,66.07,63.31,71.25,2.1,94.46,79.54,1,2,2.63,6.28
7.43,66.56,79.59,83.27,5.72,94.26,86.35,0,1,1.82,7.38
6.17,56.99,60.48,94.22,0.5,100,90.92,0,6,19.5,5.81
7.49,76.5,74.65,73.75,4.69,89.21,94.73,0,7,6.05,6.95
6.91,63.83,70.33,87.81,4.62,88.45,81.31,0,4,0.9,6.63
6.15,55.09,60.56,60.35,2.09,93.66,97.06,0,6,1.41,5.77
8.41,75.86,80.44,84.27,7.57,100,72.17,1,1,12.23,6.94
5.61,53.34,51.68,94.66,2.31,99.03,82.67,3,5,0.83,5.19
8.13,76.43,75.6,91.29,3.82,84.99,81.24,0,4,2.92,7.41
8.2,67.08,77.83,72.93,6.86,100,73.84,0,3,6.17,7.32
6.87,67.39,76.35,89.23,4.95,88.95,89.77,0,3,10.79,7.05
8.74,77.23,74.68,97.84,3.73,89.98,78.22,0,9,3.01,7.42
6.84,57.9,58.11,87.63,3.3,100,81.88,1,3,2.28,6.05
6.77,59.02,66.96,80.94,4.54,88.2,78.83,1,2,15.37,6.1
6.06,48.88,58.6,97.42,3.72,82.91,83.88,0,4,7.51,5.42
7.49,65.31,73.76,92.11,4.73,93.4,79.44,0,8,4.41,7.21
6.35,49.3,61.71,87.99,3.21,100,73.32,0,8,12.31,5.68
6.55,65.44,80.17,92.19,6.27,83.37,98.63,2,5,0.26,6.7
7.42,77.85,63.77,78.12,3.24,94,98.62,0,3,11.32,6.94
7.47,59.31,69.98,91.63,1.52,85.14,91.22,0,5,22.07,6.51
9.01,93.22,95.44,73.9,10.13,83.14,100,0,6,11.96,8.89
8.62,83.64,84.1,73.14,6.5,82.7,97.19,1,1,16.65,7.93
8.16,75.28,75.19,84.6,3.15,95.89,93.3,0,3,0.97,7.44
7.32,65.89,67.94,86.32,2.73,92.76,76.15,0,4,0.41,6.7
7.02,75.2,65.23,82.46,5.87,93.42,73.08,1,1,5.05,6.62
7.47,70.23,69.79,80.77,3.21,95.58,86.08,0,10,4.96,6.87
6.83,72.44,76.5,83.84,6.58,80.13,86.37,0,6,1.97,6.55
6.66,61.01,60.7,81.88,5.54,82.41,66.41,0,1,0.48,5.96
7.41,65.94,75.23,81.11,5.08,78.43,77.51,0,2,2.74,6.78
6.45,69.15,70.41,90.9,4.88,98.6,91.21,0,1,32.58,6.7
6.52,64.59,65.07,59.8,7.42,94.63,71.24,0,4,2.28,6.44
8.65,71.42,73.94,77.83,4.1,79.53,92.76,1,9,9.12,7.3
5.84,64.84,59.79,94.11,4.78,89.01,81.22,1,9,5.46,5.92
6.25,56.55,62.66,76.52,2.99,88.3,85.23,0,6,1.34,6.04
9.03,82.72,75.6,84.67,5.71,95.55,78.4,0,5,4.38,8.23
7.03,58.34,65.67,89.59,2.77,76.95,91.27,0,3,2.06,6.38
9.15,88.49,86.27,85.58,6.94,92.44,94.06,0,8,4.19,8.55
6.1,60.71,66.64,91.9,7.14,89.66,84.27,0,6,9.41,6.41
7.59,64.56,65.9,76.7,1.18,80.87,90.83,0,3,6.72,6.87
8.43,77.8,86.71,88.42,6.55,97.4,81.49,0,8,1.59,8.07
6.41,62.87,61,92.08,2.02,89.95,100,1,4,5.45,6.29
9.51,87.17,81.88,83.56,3.64,88.13,79.01,0,8,7.83,8.05
7.03,70.9,70.49,76.78,4.46,93.85,86.7,0,1,13.44,6.32
8.11,70,77.33,87.17,3.6,93.99,94.16,1,1,14.79,6.94
6.69,67.08,69.19,82.07,3.79,81.23,93.72,4,6,20.93,5.6
9.29,82.46,85.81,79.38,6.12,93.12,68.15,1,8,22.62,7.95
7.86,82.69,82.76,84.91,6.64,100,83.55,2,4,0.88,7.3
10,76.98,87.37,79.95,4.27,94.03,86.95,1,6,5.96,8.49
8.91,73.38,83,79.21,4.49,94.16,75.35,2,4,4.16,7.92
8.5,75.82,75.52,90.52,5.76,83.01,79.05,1,1,5.14,7.53
6.35,67.03,69.15,86.56,2.39,84.97,99.12,0,8,20.96,6.1
7.6,63.3,72.66,87.49,4.58,81.88,75.65,0,6,0.78,7.26
7.12,53.42,69.37,90.38,4.05,100,70.56,2,3,24.98,6.13
7.53,81.1,77.95,79.96,5.06,93.49,100,0,9,17.58,7.26
7.68,66.18,63.26,80.87,2.17,95.78,90.8,0,8,2.95,6.68
6.42,52.78,66.53,86.28,5.23,93.35,77.65,0,2,16.73,5.71
7.31,65.67,71.82,87.4,5.07,91.55,99.14,1,6,3.9,6.7
7.38,77.76,79.56,75.46,8.46,84.32,83.52,0,5,3.04,7.22
6.29,54.55,57.57,85.51,1.91,97.36,87.03,0,1,17.18,6.09
8.46,84.58,88.8,80.14,9.13,85.05,78.02,4,4,3.53,7.55
7.77,77.33,81.1,79.41,8.35,82.31,100,1,4,2.33,7.73
8.48,83.64,90,81.3,7.07,84.61,100,0,10,3.64,8.19
8.08,71.7,71.66,80.55,3.49,84.08,76.15,5,7,3.74,6.61
5.44,62.29,64.5,84.63,6.47,70.25,83.25,0,5,32.79,5.8
6.5,56.45,68.51,70.5,1.05,90.72,85.76,1,7,9.63,5.79
9.48,80.71,74.28,86.25,0.5,83.23,73.89,0,8,7.9,7.7
8.44,76.75,72.15,78.93,3.35,90.25,78.29,0,5,12.16,7.01
5.55,55.75,52.47,90.37,2.56,100,82.26,0,9,47.12,5.33
8.06,60.95,70.2,78.39,0.57,61.15,89.46,0,3,4.48,6.77
6.5,64.17,59.83,92.71,7.74,78.69,73.11,0,2,14,6.37
4.98,53.26,46.61,87.95,3.07,91.43,73.79,1,5,19.61,4.86
9.49,78.19,87.7,99.57,5.43,93.59,76.26,0,7,1.71,8.11
7.59,80.51,84.4,82.67,10.13,77.81,93.99,0,3,22.53,7.43
7.76,60.15,72.3,82.13,4.28,76.16,73.14,0,9,2.57,6.89
5.99,58.5,55.67,99.01,1.93,85.11,93.95,0,8,1.17,6.1
6.12,61.73,56.38,78.99,8.23,81.32,56.85,0,9,12,6.24
5.59,58.91,56.79,96.56,4.21,81.81,83.26,0,3,6.51,5.81
9.2,82.5,78.7,84.18,6.2,77.29,59.83,0,3,8.63,7.98
5.53,53.34,53.31,72.52,0.5,96.37,82.88,0,8,13.89,4.92
9.44,79.23,90.37,88.73,5.09,93.77,89.97,0,9,0.92,8.13
6.32,66.6,64.87,82.25,4.38,81.61,82.65,2,7,7.5,5.77
6.03,65.75,55.8,85.83,3.77,89.4,87.59,0,3,9,5.82
7.43,72.85,72.15,69.17,6.44,93.43,79.35,0,9,3.98,6.51
6.68,64.58,60.93,95.79,3.15,85.15,89.62,4,7,1.91,6.04
7.62,65.53,76.81,85.23,3.94,88.64,89.83,2,7,7.47,6.81
6.45,64.54,59.77,82.24,4.71,91.22,78.5,0,7,25.02,6.05
7.12,71.89,75.01,93,6.23,83.07,93.94,0,1,10.39,7.06
6.59,65.79,62.89,71.82,4,97.81,86.02,0,6,16.66,6.01
8.53,78.04,73.64,74.72,4.19,97.03,85.16,0,2,6.81,7.6
8.12,67.28,71.47,84.95,4.17,98.89,88.59,0,10,9.21,7.2
7.8,71.18,75.5,72.84,4.16,83.24,89.85,0,7,3.69,7.08
8.76,69.56,71.83,77.64,1.86,95.6,86.14,0,10,0.69,7.67
7.82,71.31,78.02,98.41,6.02,80.6,91.78,0,5,8.84,7.51
7.71,77.66,77.93,97.24,6.15,82.75,99.6,0,1,11.43,7.33
7.36,60.21,67.92,88.8,1.25,83.37,81.7,0,9,6.02,6.12
6.64,51.17,71.42,86.32,3.6,87.39,74.83,0,4,3.59,5.79
6.64,73.98,78.39,62.47,7.15,86.86,97.38,0,4,9.85,7.13
7.68,69.99,74.13,85.83,4.71,90.34,80.45,0,8,0.84,6.77
8.72,74.35,78.55,81.79,3.86,88.01,94.29,0,4,4.13,7.96
8.18,78.1,76.84,79.04,2.27,85.04,100,0,2,1.98,7.61
8.18,81.01,86.06,85.59,7.02,90.6,94.3,1,1,27.45,7.87
6.17,62.61,60.58,78.51,3.1,87.95,84.26,1,9,5.47,6.1
8.13,82.11,74.82,87.55,5.87,99.68,78.99,0,8,1.25,7.59
7.02,80.58,82.48,76.69,8.34,80.7,99.36,0,6,10.39,7.38
7.71,81.96,80.42,94.68,4.75,83.78,93.17,0,6,13.52,7.33
8.16,75.79,80.34,89.28,7.34,90.27,80.13,5,6,8.47,7.1
6.11,60.86,73.59,81.45,5.43,89.73,100,2,4,4.26,6.12
7.69,74.35,69.36,82.93,6.52,75.49,69.56,0,6,4.89,6.87
7.78,74.71,71.28,91.62,4,89.11,79.89,3,7,2.07,6.44
8.7,79.9,74.13,91.12,2.74,88.66,92.96,0,1,7.39,7.69
6.88,65.68,65.3,76.29,3.58,74.51,79.91,0,7,4.19,6.34
7.43,67.5,73.4,79.72,3.79,73.77,78.93,0,6,3.1,6.49
7.7,66.22,70.55,95.02,5.04,85.63,91.98,0,4,5.11,7.12
6.88,68.03,71.55,86.54,5.93,87.63,75.35,0,2,20.83,6.58
6.86,66.75,67.84,68.95,1.4,96.83,88.27,2,3,14.16,5.9
6.81,66.51,63.77,86.19,4.82,93.39,74.69,0,1,13.73,6.48
7.35,70.53,73.67,96.24,5.13,100,82.03,0,5,10.29,7.13
9.6,89.45,80.76,87.94,4.6,81.36,86.72,2,5,1.79,8.09
7.39,68.97,72.01,87.93,2.41,81.17,90.09,0,6,2.91,6.89
8.09,77.13,76.09,90.03,5.33,97.18,72.91,0,3,5.59,7.3
7.54,59.28,74.42,96.36,5.25,96.91,75.86,0,5,0.23,6.75
7.13,65.89,69.26,95.04,6.15,92.21,85.75,0,10,1.13,6.75
7.47,68.67,64.31,81.71,4.06,88.64,81.6,0,9,8.19,6.71
8.42,74.76,88.41,90.43,5.1,87.37,100,0,3,0.99,7.63
7.44,77.03,73.4,81.08,5.63,98.93,95.09,1,9,6.92,7.07
7.31,64.91,74.28,91.79,4.59,92.47,88.3,2,2,22.27,6.42
7.22,71.47,64.87,95.7,1.83,91.76,80.76,0,9,4.15,6.95
6.31,61.41,58.37,79.03,0.5,100,90.32,0,8,0.83,5.87
8.75,77.35,84.55,84.82,2.88,94.99,94.47,0,8,1.91,7.61
6.96,61.1,68.73,85.17,1.09,82.45,87.69,0,8,2.28,6.3
9.26,85.18,85.92,81.05,5,85.81,84.46,2,9,12.27,7.86
7.79,68.87,67.61,86.86,2.46,90.1,95.98,1,1,9.95,6.82
9.19,81.41,81.52,73.05,3.19,89.78,80.73,0,9,37.14,7.64
7.26,76.2,72.21,94.61,8.04,88.28,80.61,0,7,12.34,7.06
6.62,59.74,64.88,96.08,3.71,92.91,90.16,0,3,10.69,6.59
8.75,87.95,85.61,87.97,6.87,82.73,87.4,1,6,38.96,7.7
6.83,57.57,66.49,76.07,4.58,77.37,89.93,0,5,4.4,6.61
9.04,86.62,71.89,99.35,1.63,85.14,72.89,0,2,8.32,7.76
8.19,70.21,75.26,71.99,4.42,80.98,81.49,1,6,28.69,7.17
9.26,71.89,72.43,83.49,0.5,95.05,89.08,1,5,2.44,7.22
6.33,71.9,70.77,85.93,4.94,92.94,90.38,0,5,19.53,6.83
8.65,81.75,77.31,80.97,2.63,81.58,96.62,0,5,1,7.88
6.61,63.03,66.71,78.48,4.46,100,88.79,2,4,23.35,5.89
4.62,60.18,55.33,88.81,3.19,84.85,91.5,0,7,3.87,5.38
8.58,66.78,86.68,87.96,6.87,95.17,71.9,0,10,12.11,7.31
7.49,72.8,73.37,100,4.59,82.36,76.16,1,5,2.46,7.05
8.65,77.84,79.65,94.28,3.87,80.64,93.74,3,8,10.6,7.56
7.61,73.07,67.62,89.01,3.51,92.38,91.72,1,1,7,6.83
7.53,64.52,69.34,87.6,4.92,91.73,70.01,1,5,2.67,6.59
9.3,75.47,73.4,100,3.75,100,78.33,0,10,55.88,7.73
7.64,58.1,66.94,94.26,0.5,99.47,97.51,0,9,8.93,6.58
6.93,70.85,70.75,85.78,3.41,85.5,91.76,1,10,21.33,6.43
7.39,66.21,70.19,86.03,4.51,80.78,82.64,0,6,4.48,6.71
7.69,68.8,72.4,71.76,2.99,99.39,89.18,0,3,2.63,6.95
4.09,46.06,57.06,83.93,4.99,93.74,85.94,0,8,10.04,4.73
8.09,74.23,76.94,88.14,4.71,91.76,79.83,0,6,0.36,7.27
9.13,66.25,70.55,85.12,0.5,82.71,78.73,0,1,13.15,7.39
7.44,57.87,70.13,94.07,3.08,86.57,100,0,3,10.13,6.79
7,76.03,70.25,91.9,7.15,100,79.19,0,3,5.46,6.65
7.97,77.43,74.87,80.48,5.57,89.27,87.07,0,10,5.53,7.45
9.59,92.34,80.3,77.49,5.76,80.65,67.02,3,7,37.22,7.61
8.06,69.68,84.19,88.45,6.45,100,100,0,9,1.89,7.37
7.76,69.99,75.47,92.58,4.01,74.7,100,1,4,3.95,7.01
7.03,62.93,70.87,89.06,3.37,82.51,76.62,0,3,6.56,6.61
6.22,69.31,61.79,100,6.19,88.99,96.2,0,10,1.91,6.29
7.53,71.38,78.99,100,6.73,79.04,97.11,0,7,6.81,7.12
7.55,69.09,80.08,100,6.97,78.72,79.81,0,10,4.22,7.22
5.18,52.21,55.16,80.07,3.22,95.43,92.1,2,1,5.52,5.17
6.63,65.38,66.79,74.96,5.81,81.98,72.43,0,5,6.51,6.28
8.89,68.6,82,79.26,4.27,87.33,86.02,0,8,10.81,8.09
7.19,79.8,77.59,74.71,5.91,95.81,90.83,2,8,38.73,6.97
4.55,51.51,54.34,88.96,4.32,88.68,87.74,1,10,2.93,5.12
9.42,78.67,85.16,92.8,4.45,85.88,87.13,0,2,2.82,8.24
6.43,60.2,68.91,96.79,6.1,87.46,80.85,2,4,0.82,6.18
6.94,63.83,60.03,97.87,3.84,81.93,87.42,0,8,2.54,6.42
8.77,77.34,74.27,87.79,3.75,82.04,91.52,0,6,13.89,7.73
6.61,68.54,60.55,88.36,6.62,85.74,71.58,0,4,39.55,6.43
5.14,48.35,58.91,82.86,5.32,81.06,85.12,3,2,1.89,4.94
7.76,72.12,76.53,95.45,2.53,94.59,93.99,0,2,12.15,7.07
8.46,87.87,82.03,84.63,6.82,100,100,2,4,10.76,7.72
6.94,69.57,72.2,79.94,7.42,72.05,100,0,1,4.63,6.94
7.35,62.78,72.23,78.28,5.09,82.03,79.83,0,1,2.98,6.47
6.08,59.93,52.88,87.15,3.86,80.43,89.7,0,7,19.57,5.74
6.31,58.78,72.68,96.58,7.73,81.28,88.89,0,4,0.07,6.25
7.11,70.78,67.95,90.11,7.59,93.54,64.4,0,2,32.67,6.53
8.28,77.51,74.68,85.94,2.73,84.87,77.82,0,9,5.77,7.16
7.62,69.94,71.98,95.71,3.97,81.84,70.83,1,7,9.74,6.86
8.72,80.68,78.21,82.68,4.39,93.41,82.35,0,7,0.41,7.4
9.48,75.9,90.63,73.09,7.78,100,85.9,0,3,0.34,8.21
8.56,79.59,81.2,76.17,6.28,89.83,81.61,0,3,1.27,7.59
5.59,48.36,56.97,79.43,3.86,81.68,84.27,0,9,9.5,5.66
7.16,60.81,68.42,78.57,4.49,84.99,79.51,0,5,1.44,6.44
8.55,81.06,83.03,91.6,4.28,91.75,86.8,0,4,12.91,7.96
7.36,68.34,66.19,79.7,2.98,89.2,84.3,1,7,5.07,6.43
5.56,56.68,58.42,68.54,5.54,95.89,74.29,0,3,5.71,5.44
6.84,69.65,78.41,83.53,5.41,87.09,100,0,10,3.46,7.08
4.77,53.23,62.74,82.69,5.68,77.24,88.27,1,8,0.68,4.62
7.17,72.06,65.47,86.06,4.95,99.33,94.15,0,8,17.12,6.81
6.68,58.98,68.39,68.18,2.33,76.56,76.93,2,5,2.93,5.95
7.07,66.7,63.92,86.93,3.23,94.63,80.73,1,6,1.49,6.48
8.92,88.19,73.93,82.22,4.63,91.73,82.13,0,2,4.77,7.66
5.9,62.24,67.36,100,6.3,95.84,96.82,0,4,5.19,6.62
6.64,58.23,68.15,86.78,5.06,84.79,78.05,3,1,0.54,5.71
6.13,60.74,62.81,78.26,2.04,98.08,79.28,0,5,5.86,5.63
8.79,77.14,77.25,66.52,0.5,95.36,71.13,0,3,4.23,7.25
8.86,89.36,77.22,97.95,4.42,85.04,95.86,0,3,24.86,8.25
7.93,72.58,76.07,99.25,5.32,90.57,68.89,0,10,1.27,7.3
7.87,66.32,72.65,86.42,6.08,97.73,63.23,1,10,27.52,7.17
6.06,76.86,69.3,97.99,8.01,75.93,88.9,0,7,3.9,6.54
7.74,70.25,76.2,85.58,6.75,98.78,76.73,0,1,8.96,7.25
6.15,69.04,65.68,98.32,5.73,86.13,90.69,0,9,11.69,6.29
7.55,78.49,69.22,87.19,3.42,86.14,85.91,0,7,4.6,6.93
7.09,74.42,73.4,85.87,7.39,94.87,73.56,0,2,4.83,7.17
6.79,60.24,66.18,91.56,2.33,90.58,78.84,3,2,4.92,5.75
7.53,73.12,73.48,88.56,6.69,87.23,76.64,2,6,6.01,6.99
8.31,77.34,83.48,78.64,8.27,80.67,77.53,0,4,3.38,7.73
9.63,86.74,89.24,89.52,7.3,83.55,69.24,0,4,6.93,8.22
8.16,68.66,77.61,89.18,3.72,91.49,81.77,0,4,12.23,7.24
10,75.68,73.39,89.28,1.21,95.69,92.13,0,9,8.35,7.76
7.74,71.5,76.26,99.49,3,83.68,100,0,6,0.13,7.29
9.64,79.09,86.06,82.36,4.59,88.19,81.3,1,9,8.01,7.82
8.02,67.46,71.79,87.88,3.94,80.61,85.32,0,1,9.54,7.31
7.79,67.97,71.15,84.51,4.98,92.37,80.48,1,3,14.18,6.84
7.3,64.85,63.89,86.89,0.87,87.94,78.67,0,1,8.39,6.34
7.86,73.04,78.7,86.92,6.09,98.26,78.12,1,3,3.04,7.2
8.02,77.84,73.26,95.48,3.25,88.24,85.68,0,2,1.95,7.68
5.8,56.93,65.16,91.41,4.5,98.6,96.94,1,8,4.14,5.61
8.34,74.49,73.4,80.7,3.54,90.14,86.52,0,7,3.26,7.01
5.72,58.58,64.43,81.7,6,91.31,83.27,2,9,0.08,5.59
8.34,70.14,72.79,84.65,3.37,98.24,89.4,0,6,4.16,7.2
8.22,60.65,70.9,100,1.07,92.02,81.77,0,9,0.65,6.94
9.21,78.35,86.16,77.29,5.62,88.41,84,5,9,4.08,7.53
6.47,69.41,64.74,86.46,1.32,89.91,95.16,0,5,2.94,6.25
6.32,66.25,63.12,93.08,4.15,85.33,96.8,0,2,1.14,6.44
8.83,75.3,83.78,80.19,6.68,93.91,79.15,0,5,5.02,7.86
6.21,58.03,58.11,96.21,5.65,94.36,93.12,0,7,14.69,6.1
6.09,70.88,66.8,83.22,4.56,81.52,81.27,1,3,8.71,6.05
7.75,68.81,72.17,82.46,4.64,86.63,70.24,0,7,1.36,7
7.44,72.54,66.71,70.49,2.4,81.14,94.73,4,5,1.86,6.41
7.69,68.99,74.68,81.06,5.32,89.3,81.36,0,4,7.94,6.97
8.15,76.04,77.25,86.49,5.49,71.08,91.8,0,9,6.66,7.64
8.15,67.31,68.07,71.05,4.92,68.44,68.46,1,5,5.64,6.59
7.41,78.32,71.46,71.46,4.52,90.57,84.36,0,5,0.29,6.95
7.56,65.3,75.05,96.68,4.21,83.84,77.23,0,2,0.66,6.92
7.42,76.36,76.29,91.69,6.08,100,99.1,1,10,15.02,7.25
7.54,66.22,72.96,76.79,3.27,96.73,82.09,0,5,9.51,6.86
5.84,62.54,60.08,73.9,1.82,95.24,93.33,2,7,14.37,5.22
8.41,81.3,80.83,77.83,6.31,86.76,88.5,0,7,4.98,8.16
8.76,71.74,71.26,83.53,1.86,78.4,79.68,1,10,1.44,6.99
8.26,68.27,76.83,90.81,3.02,78.64,94.5,0,10,13.35,7.41
8.17,74.35,82.21,69.19,5.35,90.92,84.03,0,10,17,7.11
6.31,63.23,62.18,100,5.16,97.71,89.98,1,9,15.76,5.86
5.8,56.07,61.57,84.05,4.18,93.2,87.71,0,7,23.86,5.98
8.5,77.14,84.01,81.67,7.32,85.86,89.08,0,2,4.39,7.83
7.53,76.51,80.53,84.86,6.45,96.56,89.41,3,2,17.43,6.82
7.7,76.09,73.92,89.73,4.29,82.05,91.89,0,6,4.43,7.02
7.76,64.39,75.89,81.02,3.38,76.97,90.01,0,5,6.29,7.36
7.81,75.3,68.99,91.42,5.03,100,86.03,0,7,8.24,7.08
8.28,75.46,83.31,94.66,4.88,97.46,90.34,0,6,17.29,7.46
7.39,73.15,71.64,98.65,6.88,90.22,86.6,0,7,10.49,7.02
5.21,55.78,58.47,89.07,4.1,94.98,88.91,2,3,9.48,5.25
8.33,79.04,64.58,100,6.55,90.28,51.47,0,10,3.52,7
8.19,71.39,69.75,80.66,1.84,93.79,70.98,0,10,9.18,6.44
5.95,56.95,66.47,71.7,5.2,94.33,92.95,2,5,1.79,5.39
6.1,54.65,54.53,88.99,3.08,77.23,86.01,0,4,0.5,5.86
8.56,71.5,79.09,88.98,4.51,95.24,68.35,1,10,9.69,7.12
8.84,82.98,77.41,79.9,4.06,100,84.82,0,8,11.93,7.91
4.3,56.08,48.01,63.49,2.28,80.83,86.78,0,8,0.38,4.62
8.03,77.37,66.28,82.74,3.03,85.84,97.03,0,2,0.37,7.43
7.24,69.62,73.86,100,3.57,92.13,85.61,0,9,3.92,6.63
7.59,75.12,84.01,86,7.99,78.74,97.99,0,5,24.74,7.52
7.66,71.02,72.9,89.41,3.43,94.34,90.56,3,7,6.89,6.6
6.59,56.07,58.74,91.33,0.71,89.74,81.52,0,3,2.97,6.2
8.28,64.55,66.85,91.44,3.02,87.47,75.78,0,9,0.08,6.87
6.67,67.48,59.9,95.31,0.97,68.4,84.43,0,10,1.49,6.14
8.4,74.35,73.73,85.07,2.41,85.65,90.12,2,5,1.59,7.53
8.66,66.63,75.86,100,0.5,85.4,96.61,1,8,9.62,7.32
6.45,56.86,68.78,81.01,3.26,88.81,86.88,0,8,16.9,6.22
6.48,61.3,64.39,96.72,5.25,78.31,84.92,5,8,0.25,5.94
7.64,61.33,63.45,72.56,3.67,92.59,66.49,0,2,0.09,6.21
9.3,84.56,85.63,92.74,3.78,86.12,93.73,0,8,6.23,8.53
6.79,75.81,78.24,84.27,9.61,92.72,95.51,0,6,11.73,6.81
7.02,61.44,72.55,96.38,3.3,88.24,81.7,3,10,6.6,6.25
7.89,65.33,74.57,91.61,4.94,100,92.25,1,5,11.67,6.8
8.29,73.18,74.71,75.03,4.71,81.49,81.88,0,4,1.39,7.33
8.13,70.44,77.01,83.24,5.01,100,83.37,0,9,4.61,7.44
7.54,58.23,75.3,85.81,3.28,83.83,85.62,0,8,29.36,6.54
7.13,63.82,64.82,92.25,6.03,77.98,76.33,2,4,8.96,6.45
7.9,77.34,82.44,85.97,6.88,97.62,100,2,2,3.01,7.45
4,52.65,48.28,75.27,4.63,92.54,75.67,0,5,0.14,5.13
9.74,82.38,87.43,76.3,6.83,81.71,74.65,1,3,7.56,8.39
7.28,71.55,78.88,97.07,5.58,98.04,92.74,0,1,15.12,6.78
7.72,75.29,77.76,78.98,4.84,86.71,87.11,0,4,23.74,7.33
10,80.29,80.29,93.44,2.43,93.77,83.03,0,2,31.04,8.37
6.61,56.02,66.7,96.23,4.25,91.64,80.54,0,1,2.41,6.06
10,80.12,85.6,91.75,6.49,100,83.27,0,7,1.93,8.21
8.39,74.12,79.08,93.5,3.73,86.7,76.63,0,8,4.89,6.94
